city,country,recorded_at,temperature,apparent_temperature,humidity,pressure,wind_speed,precipitation,weather_condition
Bengaluru,India,2026-07-19 20:30:00,21.7,23.8,91.0,910.6,12.3,0.1,Light drizzle
Chennai,India,2026-07-19 20:30:00,28.9,34.1,78.0,1005.0,9.0,0.0,Overcast
Hyderabad,India,2026-07-19 20:30:00,24.9,27.8,85.0,950.9,13.9,0.2,Moderate drizzle
Mumbai,India,2026-07-19 20:30:00,25.9,30.2,91.0,1006.2,14.3,0.4,Slight rain showers
Delhi,India,2026-07-19 20:30:00,30.6,37.4,81.0,975.5,8.1,0.0,Overcast
